v_supply	V(v_batteries)	V(vout_batt)	V(n001)	V(n002)	I(C1)	I(C2)	I(C_adc)	I(R1)	I(R2)	I(R_adc)	I(V1)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
3.120000000000002e+00	3.120000e+00	1.242554e-01	1.615320e+00	1.242554e-01	-3.120000e-17	3.120000e-19	1.242554e-20	-1.242554e-05	-1.242554e-05	-1.235123e-20	-1.050509e-04	3.996492e-12	-3.986220e-08	-1.238566e-05	1.050509e-04	-1.129021e-04
3.220000000000002e+00	3.220000e+00	1.319472e-01	1.715313e+00	1.319472e-01	-3.220000e-17	3.220000e-19	1.319472e-20	-1.319472e-05	-1.319472e-05	-1.332268e-20	-1.083525e-04	4.096512e-12	-3.985210e-08	-1.315467e-05	1.083525e-04	-1.161989e-04
3.320000000000002e+00	3.320000e+00	1.396389e-01	1.815305e+00	1.396389e-01	-3.320000e-17	3.320000e-19	1.396389e-20	-1.396389e-05	-1.396389e-05	-1.387779e-20	-1.116540e-04	4.196534e-12	-3.984201e-08	-1.392404e-05	1.116540e-04	-1.194956e-04
3.420000000000002e+00	3.420000e+00	1.473306e-01	1.915298e+00	1.473306e-01	-3.420000e-17	3.420000e-19	1.473306e-20	-1.473306e-05	-1.473306e-05	-1.471046e-20	-1.149556e-04	4.296555e-12	-3.983191e-08	-1.469322e-05	1.149556e-04	-1.227923e-04
3.520000000000002e+00	3.520000e+00	1.550223e-01	2.015290e+00	1.550223e-01	-3.520000e-17	3.520000e-19	1.550223e-20	-1.550223e-05	-1.550223e-05	-1.554312e-20	-1.182572e-04	4.396576e-12	-3.982182e-08	-1.546233e-05	1.182572e-04	-1.260891e-04
3.620000000000002e+00	3.620000e+00	1.627140e-01	2.115282e+00	1.627140e-01	-3.620000e-17	3.620000e-19	1.627140e-20	-1.627140e-05	-1.627140e-05	-1.637579e-20	-1.215587e-04	4.496597e-12	-3.981172e-08	-1.623159e-05	1.215587e-04	-1.293858e-04
3.720000000000002e+00	3.720000e+00	1.704058e-01	2.215275e+00	1.704058e-01	-3.720000e-17	3.720000e-19	1.704057e-20	-1.704058e-05	-1.704058e-05	-1.693090e-20	-1.248603e-04	4.596618e-12	-3.980163e-08	-1.700077e-05	1.248603e-04	-1.326826e-04
3.820000000000003e+00	3.820000e+00	1.780975e-01	2.315268e+00	1.780975e-01	-3.820000e-17	3.820000e-19	1.780975e-20	-1.780975e-05	-1.780975e-05	-1.776357e-20	-1.281618e-04	4.696638e-12	-3.979153e-08	-1.776989e-05	1.281618e-04	-1.359793e-04
3.920000000000003e+00	3.920000e+00	1.857892e-01	2.415260e+00	1.857892e-01	-3.920000e-17	3.920000e-19	1.857892e-20	-1.857892e-05	-1.857892e-05	-1.859624e-20	-1.314634e-04	4.796660e-12	-3.978143e-08	-1.853914e-05	1.314634e-04	-1.392761e-04
4.020000000000002e+00	4.020000e+00	1.934809e-01	2.515252e+00	1.934809e-01	-4.020000e-17	4.020000e-19	1.934809e-20	-1.934809e-05	-1.934809e-05	-1.942890e-20	-1.347650e-04	4.896681e-12	-3.977134e-08	-1.930832e-05	1.347650e-04	-1.425728e-04
