Freq.	V(n001)	V(n002)	V(n003)	V(n004)	I(D1)	I(R1)	I(R2)	I(V1)	I(V4)	Ib(Q1)	Ic(Q1)	Ie(Q1)
2.99357729472047e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19169511358976e+000dB,1.79876782069760e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62422054758902e+001dB,-7.42177203611991e-002°)	(-1.45785171467200e+002dB,-9.01248295889260e+001°)	(-6.04340192074756e+001dB,-1.79996197246488e+002°)	(-1.58931550751967e+001dB,-1.23217930239597e-001°)	(-6.04340192074756e+001dB,-1.79996197246488e+002°)	(-1.58931550751181e+001dB,1.79876800414933e+002°)	(-6.04340192074810e+001dB,3.80275351175830e-003°)	(-1.58931550751181e+001dB,-1.23199585066555e-001°)	(-1.58418115339264e+001dB,1.79877548930745e+002°)
3.34048498351322e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19169025469792e+000dB,1.79862503134989e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62422095814346e+001dB,-8.28183182881817e-002°)	(-1.44832795374441e+002dB,-9.01389416159057e+001°)	(-6.04340189008761e+001dB,-1.79995756573125e+002°)	(-1.58931599340886e+001dB,-1.37496865011331e-001°)	(-6.04340189008761e+001dB,-1.79995756573125e+002°)	(-1.58931599340098e+001dB,1.79862523606074e+002°)	(-6.04340189008820e+001dB,4.24342687518819e-003°)	(-1.58931599340098e+001dB,-1.37476393926393e-001°)	(-1.58418163930290e+001dB,1.79863358862886e+002°)
3.72759372031491e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19168420442750e+000dB,1.79846569520085e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62422146936391e+001dB,-9.24155692140437e-002°)	(-1.43880420472958e+002dB,-9.01547252018805e+001°)	(-6.04340185191002e+001dB,-1.79995264834680e+002°)	(-1.58931659843590e+001dB,-1.53430479915113e-001°)	(-6.04340185191002e+001dB,-1.79995264834680e+002°)	(-1.58931659842800e+001dB,1.79846592363441e+002°)	(-6.04340185191072e+001dB,4.73516532034920e-003°)	(-1.58931659842800e+001dB,-1.53407636559122e-001°)	(-1.58418224435618e+001dB,1.79847524413147e+002°)
4.15956216307182e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19167667066028e+000dB,1.79828789481836e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62422210593297e+001dB,-1.03124962012442e-001°)	(-1.42928047054612e+002dB,-9.01723713479131e+001°)	(-6.04340180437156e+001dB,-1.79994716114270e+002°)	(-1.58931735181262e+001dB,-1.71210518164215e-001°)	(-6.04340180437156e+001dB,-1.79994716114270e+002°)	(-1.58931735180471e+001dB,1.79828814972371e+002°)	(-6.04340180437196e+001dB,5.28388572996261e-003°)	(-1.58931735180471e+001dB,-1.71185027628929e-001°)	(-1.58418299776559e+001dB,1.79829855031718e+002°)
4.64158883361275e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19166728965354e+000dB,1.79808949060069e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62422289858512e+001dB,-1.15075366043071e-001°)	(-1.41975675483866e+002dB,-9.01920912372723e+001°)	(-6.04340174517705e+001dB,-1.79994103809630e+002°)	(-1.58931828991330e+001dB,-1.91050939931515e-001°)	(-6.04340174517705e+001dB,-1.79994103809630e+002°)	(-1.58931828990536e+001dB,1.79808977504549e+002°)	(-6.04340174517753e+001dB,5.89619036969387e-003°)	(-1.58931828990536e+001dB,-1.91022495451228e-001°)	(-1.58418393590696e+001dB,1.79810138090126e+002°)
5.17947467923117e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19165560847959e+000dB,1.79786809504233e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62422388559051e+001dB,-1.28410580635234e-001°)	(-1.41023306212695e+002dB,-9.02141232564009e+001°)	(-6.04340167146858e+001dB,-1.79993420553800e+002°)	(-1.58931945803069e+001dB,-2.13190495767347e-001°)	(-6.04340167146858e+001dB,-1.79993420553800e+002°)	(-1.58931945802272e+001dB,1.79786841244973e+002°)	(-6.04340167146938e+001dB,6.57944620009565e-003°)	(-1.58931945802273e+001dB,-2.13158755027120e-001°)	(-1.58418510407502e+001dB,1.79788136323840e+002°)
5.77969288415327e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19164106315977e+000dB,1.79762104402221e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62422511460246e+001dB,-1.43291063703130e-001°)	(-1.40070939805819e+002dB,-9.02387323629895e+001°)	(-6.04340157968757e+001dB,-1.79992658126665e+002°)	(-1.58932091256267e+001dB,-2.37895597778764e-001°)	(-6.04340157968757e+001dB,-1.79992658126665e+002°)	(-1.58932091255467e+001dB,1.79762139821205e+002°)	(-6.04340157968809e+001dB,7.34187333553851e-003°)	(-1.58932091255467e+001dB,-2.37860178794835e-001°)	(-1.58418655867010e+001dB,1.79763584978982e+002°)
6.44946677103758e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19162295143803e+000dB,1.79734536477102e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62422664495791e+001dB,-1.59895860084403e-001°)	(-1.39118576965330e+002dB,-9.02662137623352e+001°)	(-6.04340146540303e+001dB,-1.79991807356305e+002°)	(-1.58932272373485e+001dB,-2.65463522898225e-001°)	(-6.04340146540303e+001dB,-1.79991807356305e+002°)	(-1.58932272372680e+001dB,1.79734576000579e+002°)	(-6.04340146540330e+001dB,8.19264369462747e-003°)	(-1.58932272372680e+001dB,-2.65423999421027e-001°)	(-1.58418836992083e+001dB,1.79736188629009e+002°)
7.19685673001147e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19160039888047e+000dB,1.79703774013522e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62422855054175e+001dB,-1.78424752514768e-001°)	(-1.38166218565714e+002dB,-9.02968987975784e+001°)	(-6.04340132309762e+001dB,-1.79990858009004e+002°)	(-1.58932497899060e+001dB,-2.96225986478518e-001°)	(-6.04340132309762e+001dB,-1.79990858009004e+002°)	(-1.58932497898250e+001dB,1.79703818117137e+002°)	(-6.04340132309818e+001dB,9.14199099624478e-003°)	(-1.58932497898249e+001dB,-2.96181882862984e-001°)	(-1.58419062527441e+001dB,1.79705617623388e+002°)
8.03085722139146e+003	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.19157231666541e+000dB,1.79669446871214e+002°)	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-2.62423092335321e+001dB,-1.99100660716426e-001°)	(-1.37213865695681e+002dB,-9.03311566035571e+001°)	(-6.04340114590146e+001dB,-1.79989798666615e+002°)	(-1.58932778721211e+001dB,-3.30553128785628e-001°)	(-6.04340114590146e+001dB,-1.79989798666615e+002°)	(-1.58932778720393e+001dB,1.79669496085733e+002°)	(-6.04340114590188e+001dB,1.02013333850230e-002°)	(-1.58932778720394e+001dB,-3.30503914267044e-001°)	(-1.58419343361774e+001dB,1.79671504125953e+002°)
